Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.955,1.72E-02
0.956,1.72E-02
0.957,1.72E-02
0.958,1.72E-02
0.959,1.72E-02
0.96,1.73E-02
0.961,1.73E-02
0.962,1.73E-02
0.963,1.73E-02
0.964,1.73E-02
0.965,1.73E-02
0.966,1.74E-02
0.967,1.74E-02
0.968,1.74E-02
0.969,1.74E-02
0.97,1.74E-02
0.971,1.74E-02
0.972,1.75E-02
0.973,1.75E-02
0.974,1.75E-02
0.975,1.75E-02
0.976,1.76E-02
0.977,1.76E-02
0.978,1.76E-02
0.979,1.76E-02
0.98,1.76E-02
0.981,1.77E-02
0.982,1.77E-02
0.983,1.77E-02
0.984,1.77E-02
0.985,1.77E-02
0.986,1.78E-02
0.987,1.78E-02
0.988,1.78E-02
0.989,1.78E-02
0.99,1.78E-02
0.991,1.78E-02
0.992,1.78E-02
0.993,1.79E-02
0.994,1.79E-02
0.995,1.79E-02
0.996,1.79E-02
0.997,1.79E-02
0.998,1.80E-02
0.999,1.80E-02
1,1.80E-02
1.001,1.80E-02
1.002,1.80E-02
1.003,1.81E-02
1.004,1.81E-02
1.005,1.81E-02
1.006,1.81E-02
1.007,1.82E-02
1.008,1.82E-02
1.009,1.82E-02
1.01,1.82E-02
1.011,1.82E-02
1.012,1.82E-02
1.013,1.83E-02
1.014,1.83E-02
1.015,1.83E-02
1.016,1.83E-02
1.017,1.83E-02
1.018,1.83E-02
1.019,1.84E-02
1.02,1.84E-02
1.021,1.84E-02
1.022,1.84E-02
1.023,1.84E-02
1.024,1.84E-02
1.025,1.85E-02
1.026,1.85E-02
1.027,1.85E-02
1.028,1.85E-02
1.029,1.86E-02
1.03,1.86E-02
1.031,1.86E-02
1.032,1.86E-02
1.033,1.86E-02
1.034,1.86E-02
1.035,1.87E-02
1.036,1.87E-02
1.037,1.87E-02
1.038,1.87E-02
1.039,1.87E-02
1.04,1.87E-02
1.041,1.88E-02
1.042,1.88E-02
1.043,1.88E-02
1.044,1.88E-02
1.045,1.88E-02
1.046,1.88E-02
1.047,1.88E-02
1.048,1.89E-02
1.049,1.89E-02
1.05,1.89E-02
1.051,1.89E-02
1.052,1.89E-02
1.053,1.89E-02
1.054,1.90E-02
1.055,1.90E-02
